作品名,アニメ情報,現在部数,なろうランク,出版社,ステータス,メモ
春夏秋冬代行者　春の舞,未定,"100,000",,,,
世界最速のレベルアップ　～無能スキル【ダンジョン内転移】が覚醒した結果、俺だけダンジョンのルールに縛られず最強になった～,未定,,23,,,
お気楽領主の楽しい領地防衛 〜生産系魔術で名もなき村を最強の城塞都市に〜,未定,,24,,,
元・世界１位のサブキャラ育成日記 ～廃プレイヤー、異世界を攻略中！～,未定,,29,,,
魔術師クノンは見えている,未定,,31,,,
大ハズレだと追放された転生重騎士はゲーム知識で無双する,未定,,34,,,
限界超えの天賦《スキル》は、転生者にしか扱えない　ー　オーバーリミット・スキルホルダー,未定,,35,,,
謙虚、堅実をモットーに生きております！,未定,,36,,,
異世界転移で女神様から祝福を！　～いえ、手持ちの異能があるので結構です～,未定,,40,,,
ブラック魔道具師ギルドを追放された私、王宮魔術師として拾われる　～ホワイトな宮廷で、幸せな新生活を始めます！～,未定,,53,,,
ブサイクで有名な令嬢と婚約した。彼女はとても可愛らしい性格の人だった。　～『ゴブリン令嬢』と蔑まれる令嬢に恋した美貌の令息が彼女を幸せにしようと奮闘する物語～,未定,,56,,,
そのおっさん、異世界で二周目プレイを満喫中,未定,,57,,,
魔王様の街づくり！～最強のダンジョンは近代都市～,未定,,59,,,
落ちこぼれ国を出る〜実は世界で４人目の付与術師だった件について〜,未定,,64,,,
現実世界に現れたガチャに給料全部つぎ込んだら引くほど無双に,未定,,67,,,
ライブダンジョン！,未定,,68,,,
五年間働いていた治療師ギルドを不当解雇された“最弱”な俺。生きるために超有能スキルで‟最強”を目指します,未定,,69,,,
真実の愛を見つけたと言われて婚約破棄されたので、復縁を迫られても今さらもう遅いです！,未定,,72,,,
異世界のんびり素材採取生活,未定,,74,,,
難攻不落の魔王城へようこそ～デバフは不要と勇者パーティーを追い出された黒魔導士、魔王軍の最高幹部に迎えられる～,未定,,75,,,
信者ゼロの女神サマと始める異世界攻略,未定,,76,,,
黒鳶の聖者　〜追放された回復術士は、有り余る魔力で闇魔法を極める〜,未定,,77,,,
進化の実～知らないうちに勝ち組人生～,2期決定（2023年1月）,,78,,,
Ｄジェネシス　ダンジョンができて３年,未定,,79,,,
出遅れテイマーのその日ぐらし,未定,,80,,,
転生したらドラゴンの卵だった～最強以外目指さねぇ～,未定,,81,,,
町人Aは悪役令嬢をどうしても救いたい,未定,,87,,,
万能「村づくり」チートでお手軽スローライフ　～村ですが何か？～,未定,,91,,,
おい、外れスキルだと思われていた《チートコード操作》が化け物すぎるんだが。　〜実家を追放され、世間からも無能と蔑まれていたが、幼馴染の皇女からめちゃくちゃ溺愛されるうえにスローライフが楽しすぎる〜,未定,,92,,,
一瞬で治療していたのに、何もしてないとパーティを追放された天才治癒師～今さら戻ってこいと言われても、闇ヒーラーとして楽しくやっているので治療は高額になるけどおたくら払えますか？～,未定,,94,,,
反逆のソウルイーター　～弱者は不要といわれて剣聖（父）に追放されました～,未定,,95,,,
狼は眠らない,未定,,101,,,
追放されたお荷物テイマー、世界唯一のネクロマンサーに覚醒する　〜ありあまるその力で自由を謳歌していたらいつの間にか最強に〜,未定,,103,,,
王都の外れの錬金術師 ～ハズレ職業だったので、のんびりお店経営します～,未定,,107,,,
栽培チートで最強菜園　～え、ただの家庭菜園ですけど？～,未定,,109,,,
俺の死亡フラグが留まるところを知らない,未定,,112,,,
(´・ω・`)最強勇者はお払い箱→魔王になったらずっと俺の無双ターン,未定,,113,,,
世界最強の努力家〜才能が【努力】だったので効率良く規格外の努力をしてみる〜,未定,,114,,,
転生してハイエルフになりましたが、スローライフは120年で飽きました,未定,,116,,,
黒の魔王,未定,,118,,,
経験値貯蓄でのんびり傷心旅行～勇者と恋人に追放された戦士の無自覚ざまぁ～,未定,,121,,,
最果てのパラディン,2期決定(放送日未定),,123,,,
禁断師弟でブレイクスルー～勇者の息子が魔王の弟子で何が悪い～,未定,,124,,,
無能才女は悪女になりたい～義妹の身代わりで嫁いだ令嬢、公爵様の溺愛に気づかない～,未定,,125,,,
特級探索師への覚醒　～蜥蜴の尻尾切りに遭った青年は、地獄の王と成り無双する～,未定,,127,,,
弱小領地の生存戦略！　～俺の領地が何度繰り返しても滅亡するんだけど。これ、どうしたら助かりますか？～,未定,,134,,,
10年ごしの引きニートを辞めて外出したら自宅ごと異世界に転移してた,未定,,144,,,
転生先で捨てられたので、もふもふ達とお料理します　　　～お飾り王妃はマイペースに最強です～,未定,,145,,,
察知されない最強職《ルール・ブレイカー》,未定,,148,,,
失格から始める成り上がり魔導師道！～呪文開発ときどき戦記～,未定,,150,,,
甘く優しい世界で生きるには,未定,,152,,,
ハンネローレの貴族院五年生,未定,,155,,,
魔王と勇者の戦いの裏で　～ゲーム世界に転生したけど友人の勇者が魔王討伐に旅立ったあとの国内お留守番（内政と防衛戦）が俺のお仕事です～,未定,,158,,,
異世界で土地を買って農場を作ろう,未定,,160,,,
転生先が少女漫画の白豚令嬢だった,未定,,161,,,
婚約者に裏切られたので、子爵令嬢から王妃付き侍女にジョブチェンジしてみた,未定,,163,,,
無職の英雄　～別にスキルなんか要らなかったんだが～,未定,,165,,,
用務員さんは勇者じゃありませんので,未定,,166,,,
やり直し令嬢は竜帝陛下を攻略中,未定,,167,,,
S級ギルドを追放されたけど、実は俺だけドラゴンの言葉がわかるので、気付いたときには竜騎士の頂点を極めてました。,未定,,168,,,
Ａランクパーティを離脱した俺は、元教え子たちと迷宮深部を目指す。,未定,,169,,,
異世界転移、地雷付き。,未定,,170,,,
無口な公爵令嬢と冷徹な皇帝～前世拾った子供が皇帝になっていました～,未定,,174,,,
メイドなら当然です。　-　濡れ衣を着せられた万能メイドさんは旅に出ることにしました,未定,,176,,,
創造錬金術師は自由を謳歌する　-故郷を追放されたら、魔王のお膝元で超絶効果のマジックアイテム作り放題になりました-,1期放送済,,180,,,
アルマーク ～北の剣、南の杖～,未定,,182,,,
三食昼寝付き生活を約束してください、公爵様,未定,,187,,,
創成魔法の再現者　～『魔法が使えない』と実家を追放された天才少年、魔女の弟子となり正しい方法で全ての魔法を極めます。貴方の魔法は、こうやって使うんですよ？～,未定,,188,,,
俺にはこの暗がりが心地よかった,未定,,190,,,
Ｓランク冒険者パーティーのサポート役をクビになった俺は、念願の錬金術師となりスローライフを送りたい,未定,,191,,,
エロゲ転生　運命に抗う金豚貴族の奮闘記,未定,,196,,,
四度目は嫌な死属性魔術師,未定,,201,,,
俺は冒険者ギルドの悪徳ギルドマスター～無駄な人材を適材適所に追放してるだけなのに、なぜかめちゃくちゃ感謝されている件「なに？今更ギルドに戻ってきたいだと？まだ早い、君はそこで頑張れるはずだ」,未定,,203,,,
僕は婚約破棄なんてしませんからね,未定,,204,,,
かわいいコックさん,未定,,205,,,
魔法使いの婚約者,未定,,208,,,
おっさんはうぜぇぇぇんだよ！ってギルドから追放したくせに、後から復帰要請を出されても遅い。最高の仲間と出会った俺はこっちで最強を目指す！,未定,,210,,,
生き返った冒険者のクエスト攻略生活　自分だけがもらえるスキルポイントで他の誰より強くなる,未定,,211,,,
不死者の弟子～邪神の不興を買って奈落に落とされた俺の英雄譚～,未定,,213,,,
北の砦にて　新しい季節　～転生して、もふもふ子ギツネな雪の精霊になりました～,未定,,215,,,
亡びの国の征服者～魔王は世界を征服するようです～,未定,,216,,,
悪役令嬢の中の人,未定,,218,,,
婚約破棄から始まる悪役令嬢の監獄スローライフ,未定,,220,,,
灰色の勇者は人外道を歩み続ける,未定,,221,,,
植物魔法チートでのんびり領主生活始めます～前世の知識を駆使して農業したら、逆転人生始まった件～,未定,,223,,,
セブンス,未定,,224,,,
魔王になったので、ダンジョン造って人外娘とほのぼのする,未定,,225,,,
勇者様のお師匠様,未定,,226,,,
手札が多めのビクトリア〜元工作員は人生をやり直し中〜,未定,,227,,,
昏き宮殿の死者の王,未定,,229,,,
ダメスキル【自動機能】が覚醒しました〜あれ、ギルドのスカウトの皆さん、俺を「いらない」って言ってませんでした？,未定,,230,,,
転生したら１５歳の王妃でした　〜聖女のチートなんて興味がないし、気ままにおいしいごはんを作ります～,未定,,231,,,
ＴＲＰＧプレイヤーが異世界で最強ビルドを目指す 　～ヘンダーソン氏の福音を～,未定,,234,,,
天才魔術師を弟に持つと人生はこうなる,未定,,235,,,
悪役令嬢レベル99～私は裏ボスですが魔王ではありません～,未定,,236,,,
真の実力はギリギリまで隠していようと思う～無能と蔑まれていた野良神と契約した僕はちょっとだけ本気だす,未定,,241,,,
小国の侯爵令嬢は敵国にて覚醒する,未定,,242,,,
最強呪族転生～チート魔術師のスローライフ～,未定,,243,,,
学園騎士のレベルアップ！　〜　レベル1000超えの転生者、落ちこぼれクラスに入学。そして、,未定,,245,,,
異世界で 上前はねて 生きていく （詠み人知らず） 〜再生魔法使いのゆるふわ人材派遣生活〜,未定,,247,,,
美人の姉が嫌がったのでどう見ても姿絵が白豚の次期伯爵に嫁ぎましたところ,未定,,249,,,
愛さないといわれましても～元魔王の伯爵令嬢は生真面目軍人に餌付けをされて幸せになる,未定,,251,,,
超難関ダンジョンで10万年修行した結果、世界最強に～最弱無能の下剋上～（旧最弱で迫害までされていたけど、超難関迷宮で10万年修行した結果、強くなりすぎて敵がいなくなった）,未定,,255,,,
異世界建国記,未定,,256,,,
報われなかった村人A、貴族に拾われて溺愛される上に、実は持っていた伝説級の神スキルも覚醒した,未定,,258,,,
ドロップ！！　～香りの令嬢物語～,未定,,259,,,
王太子に婚約破棄されたので、もうバカのふりはやめようと思います,未定,,260,,,
サモナーさんが行く,未定,,261,,,
俺の前世の知識で底辺職テイマーが上級職になってしまいそうな件,未定,,262,,,
ハズレスキル『ガチャ』で追放された俺は、わがまま幼馴染を絶縁し覚醒する　～万能チートスキルをゲットして、目指せ楽々最強スローライフ！～,未定,,264,,,
完璧すぎて可愛げがないと婚約破棄された聖女は隣国に売られる,未定,,266,,,
わたし、聖女じゃありませんから,未定,,268,,,
スキル『台所召喚』はすごい！～異世界でごはん作ってポイントためます～,未定,,271,,,
お見合いしたくなかったので、無理難題な条件をつけたら同級生が来た件について,未定,,272,,,
狼領主のお嬢様,未定,,273,,,
関係改善をあきらめて距離をおいたら、塩対応だった婚約者が絡んでくるようになりました,未定,,274,,,
シャバの「普通」は難しい,未定,,275,,,
身体は児童、中身はおっさんの成り上がり冒険記,未定,,276,,,
義妹が聖女だからと婚約破棄されましたが、私は妖精の愛し子です,未定,,277,,,
嫌われ妻は、英雄将軍と離婚したい！いきなり帰ってきて溺愛なんて信じません。,未定,,278,,,
転生したら悪役令嬢だったので引きニートになります,未定,,281,,,
精霊達の楽園と理想の異世界生活,未定,,282,,,
勇者の裏で暗躍していた最強のエージェント、組織が解体されたので、正体隠して人並みの日常を謳歌する,未定,,284,,,
ハズレ判定から始まったチート魔術士生活,未定,,285,,,
【世界最強の執事】ブラック職場を追放された俺、氷の令嬢に拾われる　～生活魔法を駆使して無双していたら、幸せな暮らしが始まりました～,未定,,288,,,
濁る瞳で何を願う　ハイセルク戦記,未定,,289,,,
主人公じゃない！,未定,,290,,,
育成スキルはもういらないと勇者パーティを解雇されたので、退職金がわりにもらった【領地】を強くしてみる,未定,,291,,,
【翻訳】の才能で俺だけが世界を改変できる件 〜ハズレ才能【翻訳】で気付けば世界最強になってました〜,未定,,292,,,
乙女ゲーのモブですらないんだが,未定,,293,,,
勇者パーティを追い出された器用貧乏～パーティ事情で付与術士をやっていた剣士、万能へと至る～【Web版】,未定,,294,,,
村づくりゲームのＮＰＣが生身の人間としか思えない,未定,,297,,,
異世界迷宮の最深部を目指そう,未定,,298,,,
器用貧乏、城を建てる　～開拓学園の劣等生なのに、上級職のスキルと魔法がすべて使えます～,未定,,299,,,
最強陰陽師の異世界転生記　～下僕の妖怪どもに比べてモンスターが弱すぎるんだが～,未定,,300,,,
