作品名,アニメ情報,現在部数,なろうランク,出版社,ステータス,メモ
転生賢者の異世界ライフ　～第二の職業を得て、世界最強になりました～,1期放送済,"8,000,000",,GA文庫,,
とらドラ！,1期放送済,"5,000,000",,電撃文庫,,
タクミくんシリーズ,未定,"5,000,000",,ダッシュエックス文庫,,
悪役令嬢は隣国の王太子に溺愛される,未定,"5,000,000",195,富士見ファンタジア文庫,,
モンスター娘のいる日常,,"5,000,000",,徳間書店,,
デッドマン・ワンダーランド,,"5,000,000",,カドカワBOOKS,,
片田舎のおっさん、剣聖になる　～ただの田舎の剣術師範だったのに、大成した弟子たちが俺を放ってくれない件～,未定,4500000,82,宝島社,,
蜘蛛ですが、なにか？,2期放送中,"4,000,000",5,KADOKAWA,,
HELLSING,,"4,000,000",,,,
東京アンダーグラウンド,,"3,000,000",,スクウェア・エニックス,,
隠の王,,"3,000,000",,スクウェア・エニックス,,
境界線上のホライゾン,2期放送済,"2,800,000",,アスキー・メディアワークス,,
化物語,1期放送済,"2,800,000",,講談社BOX,,
もし高校野球の女子マネージャーがドラッカーの『マネジメント』を読んだら,1期放送済,"2,800,000",,富士見ファンタジア文庫,,
ひとりぼっちの異世界攻略,未定,"2,800,000",,ヒーロー文庫,,
ふつつかな悪女ではございますが,未定,"2,800,000",286,一迅社文庫,,
くまクマ熊ベアー,2期決定（放送日未定）,"2,600,000",47,KADOKAWA,,
殺戮の天使,1期放送済,"2,600,000",,角川文庫,,
神曲奏界ポリフォニカ,2期放送済,"2,600,000",,富士見ファンタジア文庫,,
宝くじで40億当たったんだけど異世界に移住する,未定,"2,600,000",189,GA文庫,,
回復術士のやり直し,1期放送済,"2,500,000",,ヒーロー文庫,,
鹿の王,未定,"2,500,000",,角川スニーカー文庫,,
妹さえいればいい。,1期放送済,"2,500,000",,富士見ファンタジア文庫,,
りゅうおうのおしごと！,1期放送済,"2,500,000",,GA文庫,,
転生した大聖女は、聖女であることをひた隠す,未定,"2,500,000",30,富士見ファンタジア文庫,,
時々ボソッとロシア語でデレる隣のアーリャさん,未定,"2,500,000",,富士見ファンタジア文庫,,
古典部シリーズ,1期放送済,"2,450,000",,角川文庫,,
ロウきゅーぶ！,2期放送済,"2,430,000",,富士見ファンタジア文庫,,
Only Sense Online,未定,"2,400,000",194,富士見ファンタジア文庫,,
珈琲店タレーランの事件簿,未定,"2,350,000",,富士見ファンタジア文庫,,
新妹魔王の契約者,2期放送済,"2,300,000",,角川スニーカー文庫,,
異世界薬局,1期放送済,"2,300,000",110,ヒーロー文庫,,
魔弾の王と戦姫,1期放送済,"2,300,000",,富士見ファンタジア文庫,,
アラフォー賢者の異世界生活日記,未定,"2,200,000",50,MF文庫J,,
聖者無双　～サラリーマン、異世界で生き残るために歩む道～,1期決定（放送日未定）,"2,200,000",61,オーバーラップ文庫,,
俺がお嬢様学校に「庶民サンプル」として拉致られた件,1期放送済,"2,200,000",,GA文庫,,
IS〈インフィニット・ストラトス〉,2期放送済,"2,200,000",,MF文庫J,,
まおゆう魔王勇者,1期放送済,"2,200,000",,エンターブレイン,,
魔王学院の不適合者　～史上最強の魔王の始祖、転生して子孫たちの学校へ通う～,2期決定（2023年1月）,"2,200,000",55,富士見ファンタジア文庫,,
変態王子と笑わない猫。,1期放送済,"2,150,000",,富士見ファンタジア文庫,,
31番目のお妃様,未定,"2,100,000",,富士見ファンタジア文庫,,
バッカーノ！,1期放送済,"2,040,000",,集英社,,
京都寺町三条のホームズ,1期放送済,"2,000,000",,講談社,,
liar　～ズルイ身体～,未定,"2,000,000",,角川ビーンズ文庫,,
虫かぶり姫,1期放送中,"2,000,000",,一迅社文,,
神様の御用人,未定,"2,000,000",,メディアワークス文庫,,
俺の彼女と幼なじみが修羅場すぎる,1期放送済,"2,000,000",,GA文庫,,
青春ブタ野郎シリーズ,1期放送済,"2,000,000",,電撃文庫,,
星界の紋章,1期放送済,"2,000,000",,早川書房,,
精霊使いの剣舞,1期放送済,"2,000,000",,MF文庫J,,
パパのいうことを聞きなさい！,1期放送済,"2,000,000",,スーパーダッシュ文庫,,
迷い猫オーバーラン！,1期放送済,"2,000,000",,スーパーダッシュ文庫,,
かくりよの宿飯,1期放送済,"2,000,000",,富士見L文庫,,
乃木坂春香の秘密,2期放送済,"2,000,000",,電撃文庫,,
86―エイティシックス―,2期放送済,"2,000,000",,電撃文庫,,
異世界でもふもふなでなでするためにがんばってます。,1期決定,"2,000,000",,アルファポリス,,
魔王の俺が奴隷エルフを嫁にしたんだが、どう愛でればいい？,2024年4月,"2,000,000",,HJ文庫,,
戦国小町苦労譚,未定,"2,000,000",172,アルファポリス,,
ハズレ枠の【状態異常スキル】で最強になった俺がすべてを蹂躙するまで,未定,"2,000,000",21,富士見ファンタジア文庫,,
ティアムーン帝国物語　～断頭台から始まる、姫の転生逆転ストーリー～,1期決定（2023年）,"2,000,000",99,TOブックス,,
お隣の天使様にいつの間にか駄目人間にされていた件,1期決定（2023年）,"2,000,000",93,GA文庫,,
劣等眼の転生魔術師　～虐げられた元勇者は未来の世界を余裕で生き抜く～,未定,"1,900,000",,KADOKAWA,,
ニンジャスレイヤー,1期放送済,"1,800,000",,KADOKAWA,,
才川夫妻の恋愛事情,未定,"1,800,000",,スターツ出版,,
ロード・エルメロイII世の事件簿,1期放送済,"1,800,000",,TYPE-MOON BOOKS,,
星刻の竜騎士,1期放送済,"1,800,000",,MF文庫J,,
さくら荘のペットな彼女,1期放送済,"1,800,000",,電撃文庫,,
俺だけ入れる隠しダンジョン　～こっそり鍛えて世界最強～,1期放送済,"1,800,000",,Kラノベブックス,,
茉莉花官吏伝,未定,"1,730,000",,富士見L文庫,,
黒の召喚士　,1期放送済,"1,700,000",120,OVERLAP文庫,,
天久鷹央シリーズ,未定,"1,700,000",,新潮文庫nex,,
響け！ユーフォニアム,3期決定(2024年),"1,700,000",,宝島社文庫,,
英雄教室,1期決定(2023年),"1,700,000",,ダッシュエックス文庫,,
屋根裏部屋の公爵夫人,未定,"1,600,000",240,一迅社文庫アイリス,,
ログ・ホライズン,3期放送済,"1,600,000",171,エンターブレイン,,
エロマンガ先生,1期放送済,"1,600,000",,電撃文庫,,
機巧少女は傷つかない,1期放送済,"1,600,000",,MF文庫J,,
いぬかみっ！,1期放送済,"1,600,000",,電撃文庫,,
ぼくは明日、昨日のきみとデートする,未定,"1,600,000",,宝島社文庫,,
C3 ―シーキューブ―,1期放送済,"1,600,000",,電撃文庫,,
暴食のベルセルク　～俺だけレベルという概念を突破する～,未定,"1,600,000",,OVERLAP文庫,,
金色の文字使い　～勇者四人に巻き込まれたユニークチート～,未定,"1,500,000",102,富士見ファンタジア文庫,,
勇者パーティーを追放されたビーストテイマー、最強種の猫耳少女と出会う,1期放送中,"1,500,000",129,ヒーロー文庫,,
六畳間の侵略者!?,1期放送済,"1,500,000",,HJ文庫,,
ソードアート・オンライン オルタナティブ　ガンゲイル・オンライン,1期放送済,"1,500,000",,電撃文庫,,
櫻子さんの足下には死体が埋まっている,1期放送済,"1,500,000",,角川文庫,,
アスラクライン,2期放送済,"1,500,000",,電撃文庫,,
身代わり伯爵シリーズ,未定,"1,500,000",,角川ビーンズ文庫,,
Missing,未定,"1,500,000",,メディアワークス文庫,,
電波女と青春男,1期放送済,"1,500,000",,電撃文庫,,
ホーンテッド・キャンパス,未定,"1,500,000",,角川ホラー文庫,,
オオカミさんとシリーズ,1期放送済,"1,500,000",,電撃文庫,,
ポーション頼みで生き延びます！,未定,"1,500,000",139,Kラノベブックス,,
異世界魔法は遅れてる！,未定,"1,500,000",239,オーバーラップ文庫,,
最強職《竜騎士》から初級職《運び屋》になったのに、なぜか勇者達から頼られてます,未定,"1,500,000",214,富士見ファンタジア文庫,,
レベル1だけどユニークスキルで最強です,1期決定（2023年）,"1,500,000",85,Kラノベブックス,,
異世界食堂,2期放送済,"1,500,000",52,ヒーロー文庫,,
即死チートが最強すぎて、異世界のやつらがまるで相手にならないんですが。,2024年1月,"1,500,000",71,アース・スターノベル,,
領民0人スタートの辺境領主様,未定,"1,500,000",244,アルファポリス,,
ダイナー,未定,"1,400,000",,ポプラ文庫,,
真夜中のパン屋さん,未定,"1,400,000",,ポプラ文庫,,
紅霞後宮物語,未定,"1,400,000",,富士見L文庫,,
カンピオーネ！,1期放送済,"1,400,000",,スーパーダッシュ文庫,,
十角館の殺人,未定,"1,400,000",,講談社文庫,,
世界最高の暗殺者、異世界貴族に転生する,1期放送済,"1,400,000",111,角川スニーカー文庫,,
勇者召喚に巻き込まれたけど、異世界は平和でした,未定,"1,400,000",149,アルファポリス,,
実は俺、最強でした？,1期決定(2023年),"1,380,000",183,なろう文庫,,
素材採取家の異世界旅行記,未定,"1,370,000",,TOブックス,,
嘘つきみーくんと壊れたまーちゃん,未定,"1,350,000",,電撃文庫,,
スパイ教室,1期決定(2023年1月),"1,350,000",,富士見ファンタジア文庫,,
没落予定なので、鍛治職人を目指す,未定,"1,300,000",192,TOブックス,,
居酒屋ぼったくり,未定,"1,300,000",,アルファポリス,,
飛空士シリーズ,未定,"1,300,000",,ガガガ文庫,,
よろず占い処,未定,"1,300,000",,ポプラ文庫,,
しにがみのバラッド。,1期放送済,"1,300,000",,電撃文庫,,
RDG レッドデータガール,1期放送済,"1,300,000",,角川文庫,,
軍オタが魔法世界に転生したら、現代兵器で軍隊ハーレムを作っちゃいました！？,未定,"1,300,000",295,富士見ファンタジア文庫,,
ネクストライフ,未定,"1,300,000",,アルファポリス,,
レイン,未定,"1,270,000",,アルファポリス,,
神様のメモ帳,1期放送済,"1,270,000",,電撃文庫,,
悪ノ大罪シリーズ,未定,"1,250,000",,PHP研究所,,
異世界支配のスキルテイカー,未定,"1,200,000",,モンスター文庫,,
セックス＆ダンジョン!!　～我が家の地下に、H回数=レベルのダンジョンが出現した!?～,未定,"1,200,000",,美少女文庫,,
異世界でスキルを解体したらチートな嫁が増殖しました　概念交差のストラクチャー,未定,"1,200,000",,HJ文庫,,
冒険者ライセンスを剥奪されたおっさんだけど、愛娘ができたのでのんびり人生を謳歌する,未定,"1,200,000",,GAノベル,,
弱キャラ友崎くん,1期放送済,"1,200,000",,ガガガ文庫,,
ヘヴィーオブジェクト,1期放送済,"1,200,000",,電撃文庫,,
後宮の烏,1期放送中,"1,200,000",,集英社オレンジ文庫,,
悪役令嬢なのでラスボスを飼ってみました,1期放送中,"1,200,000",119,角川ビーンズ文庫,,
悠久の愚者アズリーの、賢者のすゝめ,未定,"1,200,000",,アルファポリス,,
塩対応の佐藤さんが俺にだけ甘い,未定,"1,200,000",,富士見L文庫,,
鍛冶屋ではじめる異世界スローライフ,未定,"1,200,000",198,宝島社,,
最弱テイマーはゴミ拾いの旅を始めました。,未定,"1,200,000",108,TOブックス,,
転生しまして、現在は侍女でございます。,未定,"1,200,000",206,一迅社文庫アイリス,,
異世界転生の冒険者,未定,"1,150,000",,ヒーロー文庫,,
初めましてこんにちは、離婚してください,未定,"1,100,000",,アルファポリス,,
ゴーストハントシリーズ,1期放送済,"1,100,000",,講談社X文庫ホワイトハート,,
うちの執事に願ったならば,未定,"1,100,000",,角川文庫,,
浜村渚の計算ノート,未定,"1,100,000",,講談社文庫,,
自称悪役令嬢な婚約者の観察記録。,未定,"1,100,000",,カドカワBOOKS,,
最弱無敗の神装機竜,1期放送済,"1,100,000",,GA文庫,,
撲殺天使ドクロちゃん,2期放送済,"1,100,000",,電撃文庫,,
穏やか貴族の休暇のすすめ。,未定,"1,100,000",,TOブックス,,
異世界転生騒動記,未定,"1,100,000",,アルファポリス,,
転生して田舎でスローライフをおくりたい,未定,"1,100,000",19,宝島社,,
老後に備えて異世界で８万枚の金貨を貯めます,1期決定（2023年1月）,"1,080,000",143,Kラノベブックス,,
ゴールデンタイム,1期放送済,"1,070,000",,電撃文庫,,
ネトゲの嫁は女の子じゃないと思った？,1期放送済,"1,050,000",,電撃文庫,,
異世界ゆるり紀行,未定,"1,040,000",,アルファポリス,,
召喚された賢者は異世界を往く　～最強なのは不要在庫のアイテムでした～,未定,"1,000,000",287,アルファポリス,,
最後の晩ごはん,未定,"1,000,000",,角川文庫,,
わが家は祇園の拝み屋さん,未定,"1,000,000",,角川文庫,,
田舎のホームセンター男の自由な異世界生活,未定,"1,000,000",,TOブックス,,
絶叫学級 ノベライズ みらい文庫版,未定,"1,000,000",,集英社みらい文庫,,
青鬼,1期放送済,"1,000,000",,角川文庫,,
これは経費で落ちません！　～経理部の森若さん～,未定,"1,000,000",,集英社オレンジ文庫,,
階段島シリーズ,未定,"1,000,000",,講談社タイガ,,
ドクムシ,未定,"1,000,000",,双葉社,,
織田信奈の野望,1期放送済,"1,000,000",,GA文庫,,
勿論、慰謝料請求いたします！,未定,"1,000,000",,アルファポリス,,
悪役令嬢は溺愛ルートに入りました！？,未定,"1,000,000",141,ビーズログ文庫,,
ウォルテニア戦記,未定,"1,000,000",153,ホビージャパン,,
二度目の人生を異世界で,未定,"1,000,000",,マイクロマガジン社,,
アサシンズプライド,1期放送済,"1,000,000",,富士見ファンタジア文庫,,
マージナル・オペレーション,未定,"1,000,000",,星海社FICTIONS,,
私、能力は平均値でって言ったよね！,1期放送済,"1,000,000",18,アース・スターノベル,,
フェアリーテイル・クロニクル　～空気読まない異世界ライフ～,未定,"1,000,000",97,アリアンローズ,,
ワールド・ティーチャー -異世界式教育エージェント-,未定,"1,000,000",173,オーバーラップ文庫,,
史上最強の大魔王、村人Aに転生する,1期放送済,"1,000,000",,富士見ファンタジア文庫,,
父は英雄、母は精霊、娘の私は転生者。,未定,"1,000,000",,Kラノベブックス,,
戦闘員、派遣します！,1期放送済,"1,000,000",,角川スニーカー文庫,,
可愛ければ変態でも好きになってくれますか？,1期放送済,"1,000,000",,MF文庫J,,
幼なじみが絶対に負けないラブコメ,1期放送済,"1,000,000",,電撃文庫,,
村人ですが何か？,未定,"1,000,000",,アース・スターノベル,,
俺を好きなのはお前だけかよ,1期放送済,"1,000,000",,電撃文庫,,
